Date,Open,High,Low,Close,Adj Close,Volume,date,created_utc,reg_output
2022-08-18,306.0,306.5,301.853333,302.869995,302.869995,47500500,2022-08-18,1660783853.9974027,0.027168405335094143
2022-08-19,299.0,300.359985,292.5,296.666656,296.666656,61395300,2022-08-19,1660870077.1026201,-0.13457912479298023
2022-08-22,291.91333,292.399994,286.296661,289.91333,289.91333,55843200,2022-08-22,1661119059.4285715,-0.07154310972639776
2022-08-23,291.453339,298.82666,287.92334,296.453339,296.453339,63984900,2022-08-23,1661196032.6264257,-0.05621308543722229
2022-08-24,297.563324,303.646667,296.5,297.09668,297.09668,57259800,2022-08-24,1661288281.575281,-0.018974988605091975
2022-08-25,302.359985,302.959991,291.600006,296.070007,296.070007,53230000,2022-08-25,1661374744.2749004,-0.06494470543563885
2022-08-26,297.429993,302.0,287.470001,288.089996,288.089996,57163900,2022-08-26,1661467300.174089,-0.26721645046076414
2022-08-29,282.829987,287.73999,280.700012,284.820007,284.820007,41864700,2022-08-29,1661725073.5230353,-0.23172330209003575
2022-08-30,287.869995,288.480011,272.649994,277.700012,277.700012,50541800,2022-08-30,1661819251.8665688,-0.14040955470230013
2022-08-31,280.619995,281.25,271.809998,275.609985,275.609985,52107300,2022-08-31,1661900850.5277777,0.038581363524927935
2022-09-01,272.579987,277.579987,266.149994,277.160004,277.160004,54287000,2022-09-01,1661971461.6193547,-0.06449290978433114
2022-09-02,281.070007,282.350006,269.079987,270.209991,270.209991,50890100,2022-09-02,1662077690.0955415,-0.12852941246726995
2022-09-06,272.679993,275.98999,265.73999,274.420013,274.420013,55860000,2022-09-06,1662419285.618885,-0.10842812681661769
2022-09-07,273.100006,283.839996,272.269989,283.700012,283.700012,50028900,2022-09-07,1662501126.8089888,-0.01541434727763506
2022-09-08,281.299988,289.5,279.76001,289.26001,289.26001,53713100,2022-09-08,1662584714.797561,0.02716727368647187
2022-09-09,291.670013,299.850006,291.25,299.679993,299.679993,54338100,2022-09-09,1662676854.9384966,-0.0695151358088139
2022-09-12,300.720001,305.48999,300.399994,304.420013,304.420013,48674600,2022-09-12,1662938887.1956522,-0.208146689889682
2022-09-13,292.899994,297.399994,290.399994,292.130005,292.130005,68229600,2022-09-13,1663015256.9787233,-0.16873192631743572
2022-09-14,292.23999,306.0,291.640015,302.609985,302.609985,72628700,2022-09-14,1663110076.908896,-0.04093183353937571
2022-09-15,301.829987,309.119995,300.720001,303.75,303.75,64795500,2022-09-15,1663196718.902564,-0.14853632264376546
2022-09-16,299.609985,303.709991,295.600006,303.350006,303.350006,87087800,2022-09-16,1663278576.916955,-0.29171309665026335
2022-09-19,300.089996,309.839996,297.799988,309.070007,309.070007,60231200,2022-09-19,1663544880.2097902,-0.08706277208134103
2022-09-20,306.910004,313.329987,305.579987,308.730011,308.730011,61642800,2022-09-20,1663632542.023508,-0.048886089590142325
2022-09-21,308.290009,313.799988,300.630005,300.799988,300.799988,62555700,2022-09-21,1663711210.961471,-0.17143471393613519
2022-09-22,299.859985,301.290009,285.820007,288.589996,288.589996,70545400,2022-09-22,1663810751.4871795,-0.14223171430878723
2022-09-23,283.089996,284.5,272.820007,275.329987,275.329987,63748400,2022-09-23,1663876866.1740332,-0.18162066549450565
2022-09-26,271.829987,284.089996,270.309998,276.01001,276.01001,58076900,2022-09-26,1664150958.1584582,-0.25756980202582563
2022-09-27,283.839996,288.670013,277.51001,282.940002,282.940002,61925200,2022-09-27,1664223882.7008548,-0.29153713208258064
2022-09-28,283.079987,289.0,277.570007,287.809998,287.809998,54664800,2022-09-28,1664325607.8256228,-0.08995947175517552
2022-09-29,282.76001,283.649994,265.779999,268.209991,268.209991,77620600,2022-09-29,1664405704.1488094,-0.06558063455650838
2022-09-30,266.149994,275.570007,262.470001,265.25,265.25,67726600,2022-09-30,1664490998.66617,-0.026325063532545896
2022-10-03,254.5,255.160004,241.009995,242.399994,242.399994,98363500,2022-10-03,1664749165.9065108,-0.13201929122354922
2022-10-04,250.520004,257.5,242.009995,249.440002,249.440002,109578500,2022-10-04,1664827241.3968253,-0.17411126593212847
2022-10-05,245.009995,246.669998,233.270004,240.809998,240.809998,86982700,2022-10-05,1664921964.9107144,-0.2551507536830156
2022-10-06,239.440002,244.580002,235.350006,238.130005,238.130005,69298400,2022-10-06,1665007542.2682927,-0.11222454366046154
2022-10-07,233.940002,234.570007,222.020004,223.070007,223.070007,83916800,2022-10-07,1665090886.0759494,-0.20860102148564486
2022-10-10,223.929993,226.990005,218.360001,222.960007,222.960007,67925000,2022-10-10,1665353514.329897,0.002278622611276992
2022-10-11,220.949997,225.75,215.0,216.5,216.5,77013200,2022-10-11,1665439550.5089757,-0.05897208947037792
2022-10-12,215.330002,219.300003,211.509995,217.240005,217.240005,66860700,2022-10-12,1665521500.05,-0.14013469634810463
2022-10-13,208.300003,222.990005,206.220001,221.720001,221.720001,91483000,2022-10-13,1665616104.1038063,-0.0970658288952801
2022-10-14,224.009995,226.259995,204.160004,204.990005,204.990005,94124500,2022-10-14,1665700333.045249,-0.19512019577863884
2022-10-17,210.039993,221.860001,209.449997,219.350006,219.350006,79428800,2022-10-17,1665953914.0165746,-0.1705949370098398
2022-10-18,229.5,229.820007,217.25,220.190002,220.190002,75891900,2022-10-18,1666047642.9937758,-0.09086911235218655
2022-10-19,219.800003,222.929993,217.779999,222.039993,222.039993,66571500,2022-10-19,1666134108.7941747,-0.20526096110426575
2022-10-20,208.279999,215.550003,202.0,207.279999,207.279999,117798100,2022-10-20,1666220746.2727273,-0.14557634794845717
2022-10-21,206.419998,214.660004,203.800003,214.440002,214.440002,75713800,2022-10-21,1666308246.9392858,-0.07924006266610896
2022-10-24,205.820007,213.5,198.589996,211.25,211.25,100446800,2022-10-24,1666577779.0620155,-0.12301625834747268
